time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0040323734283447266,-1.46e-05,+0.0004E-06NADC,297.31,273.0
0.481795072555542,2.52e-06,-0.0021E-06NADC,297.31,273.0
0.9614951610565186,2.44e-06,-0.0008E-06NADC,297.31,273.0
1.4434020519256592,5.58e-06,+0.0002E-06NADC,297.3,273.0
1.929455041885376,0.00010313,+0.0079E-06NADC,297.3,273.0
2.403960943222046,5.6e-06,+0.0005E-06NADC,297.3,273.0
2.884047508239746,6.83e-06,+0.0003E-06NADC,297.3,273.0
3.3651785850524902,5.98e-06,+0.0004E-06NADC,297.3,273.0
3.9590487480163574,4.76e-06,-0.0005E-06NADC,297.3,273.0
4.433613061904907,6.24e-06,-0.0000E-06NADC,297.3,273.0
4.905992031097412,5.75e-06,-0.0002E-06NADC,297.3,273.0
5.386315107345581,4.88e-06,+0.0009E-06NADC,297.29,273.0
5.866159439086914,5.02e-06,+0.0012E-06NADC,297.29,273.0
6.346146106719971,7.38e-06,+0.0157E-06NADC,297.29,273.0
6.832035064697266,7.23e-06,-0.0166E-06NADC,297.29,273.0
7.305892705917358,-1.23e-06,-0.0077E-06NADC,297.29,273.0
7.787549734115601,1.363e-05,-0.0288E-06NADC,297.29,273.0
8.266759872436523,5.37e-06,+0.0008E-06NADC,297.29,273.0
8.748721837997437,2.31e-05,+0.0175E-06NADC,297.29,273.0
9.233946800231934,1.851e-05,-0.0016E-06NADC,297.29,273.0
9.708269357681274,4.24e-06,-0.0006E-06NADC,297.29,273.0
