time [s],voltage [V],current [...],temperature_A [K],temperature_B [K],setpoint [K]
0.0,+4.34274600E-02,+14.3779E-06,210.0,217.13,210.0
0.4880852699279785,+4.34283600E-02,+14.3827E-06,210.0,217.13,210.0
0.9674215316772461,+4.34280400E-02,+14.3782E-06,210.0,217.13,210.0
1.4566502571105957,+4.34279500E-02,+14.3781E-06,210.0,217.13,210.0
1.9273765087127686,+4.34296900E-02,+14.3782E-06,210.0,217.13,210.0
2.406958818435669,+4.34274800E-02,+14.3777E-06,210.0,217.13,210.0
2.907644033432007,+4.34294300E-02,+14.3782E-06,210.0,217.13,210.01
3.3869566917419434,+4.34283000E-02,+14.3736E-06,210.0,217.13,210.01
3.8671274185180664,+4.34282400E-02,+14.3782E-06,210.0,217.13,210.01
4.353910684585571,+4.34284200E-02,+14.3782E-06,210.0,217.13,210.01
4.8265697956085205,+4.34273700E-02,+14.3781E-06,210.0,217.13,210.01
5.30641508102417,+4.34293200E-02,+14.3776E-06,210.0,217.13,210.01
5.806955814361572,+4.34277200E-02,+14.3777E-06,210.0,217.13,210.01
6.306036949157715,+4.34287900E-02,+14.3778E-06,210.0,217.13,210.01
6.806031227111816,+4.34272500E-02,+14.3775E-06,210.0,217.13,210.01
7.304818391799927,+4.34291700E-02,+14.3783E-06,210.0,217.13,210.01
7.785568714141846,+4.34281000E-02,+14.3764E-06,210.0,217.13,210.01
8.284546375274658,+4.34281800E-02,+14.3793E-06,210.0,217.13,210.01
8.784842252731323,+4.34281000E-02,+14.3753E-06,210.0,217.13,210.02
9.283669471740723,+4.34283000E-02,+14.3818E-06,210.0,217.13,210.02
9.783385276794434,+4.34282400E-02,+14.3730E-06,210.0,217.13,210.02
10.284206867218018,+4.34280700E-02,+14.3776E-06,210.0,217.13,210.02
10.763681888580322,+4.34282400E-02,+14.3781E-06,210.0,217.13,210.02
11.263322830200195,+4.34281000E-02,+14.3778E-06,210.0,217.13,210.02
11.76238465309143,+4.34281500E-02,+14.3779E-06,210.0,217.13,210.02
12.263142108917236,+4.34284200E-02,+14.3779E-06,210.0,217.13,210.02
12.762547969818115,+4.34283300E-02,+14.3776E-06,210.0,217.13,210.02
13.262470722198486,+4.34282100E-02,+14.3776E-06,210.0,217.13,210.02
13.762858152389526,+4.34283900E-02,+14.3780E-06,210.0,217.13,210.02
14.262470245361328,+4.34286800E-02,+14.3778E-06,210.0,217.13,210.02
14.762513875961304,+4.34287100E-02,+14.3780E-06,210.0,217.12,210.03
15.261622905731201,+4.34281500E-02,+14.3777E-06,210.0,217.12,210.03
15.761436700820923,+4.34281000E-02,+14.3778E-06,210.0,217.12,210.03
16.261306762695312,+4.34281200E-02,+14.3778E-06,210.0,217.12,210.03
16.76239252090454,+4.34281200E-02,+14.3780E-06,210.0,217.12,210.03
17.26050639152527,+4.34282100E-02,+14.3777E-06,210.0,217.12,210.03
17.760793447494507,+4.34277500E-02,+14.3778E-06,210.0,217.12,210.03
18.26053500175476,+4.34283600E-02,+14.3777E-06,210.0,217.12,210.03
18.760399341583252,+4.34274300E-02,+14.3776E-06,210.0,217.12,210.03
19.260339498519897,+4.34278900E-02,+14.3775E-06,210.0,217.12,210.03
19.75972867012024,+4.34274600E-02,+14.3775E-06,210.0,217.12,210.03
20.26443123817444,+4.34274800E-02,+14.3776E-06,210.0,217.12,210.03
20.75951862335205,+4.34285000E-02,+14.3776E-06,210.0,217.12,210.04
21.239545345306396,+4.34269000E-02,+14.3775E-06,210.01,217.12,210.04
21.739548921585083,+4.34283900E-02,+14.3776E-06,210.01,217.12,210.04
22.23918867111206,+4.34260300E-02,+14.3775E-06,210.01,217.12,210.04
22.73862314224243,+4.34281500E-02,+14.3775E-06,210.01,217.12,210.04
23.258164167404175,+4.34262300E-02,+14.3773E-06,210.01,217.12,210.04
23.754452228546143,+4.34278000E-02,+14.3773E-06,210.01,217.12,210.04
24.238555908203125,+4.34261500E-02,+14.3775E-06,210.01,217.12,210.04
24.750946521759033,+4.34279800E-02,+14.3775E-06,210.01,217.12,210.04
25.251668214797974,+4.34259400E-02,+14.3776E-06,210.01,217.12,210.04
25.752371788024902,+4.34279500E-02,+14.3774E-06,210.01,217.12,210.04
26.25024437904358,+4.34262300E-02,+14.3775E-06,210.01,217.12,210.04
26.738987922668457,+4.34278000E-02,+14.3775E-06,210.01,217.12,210.05
27.236855030059814,+4.34264100E-02,+14.3775E-06,210.01,217.12,210.05
