time [s],voltage [V],current [A]
0.0,0.00101302,"-0.0002E-06NADC,+84008.669349SECS,+55020RDNG#,00EXTCHAN
"
0.45853567123413086,0.00102355,"-0.0001E-06NADC,+84009.128769SECS,+55021RDNG#,00EXTCHAN
"
0.9178891181945801,0.00101962,"-0.0002E-06NADC,+84009.590886SECS,+55022RDNG#,00EXTCHAN
"
1.3852808475494385,0.00101564,"-0.0002E-06NADC,+84010.070713SECS,+55023RDNG#,00EXTCHAN
"
1.8650894165039062,0.00102247,"-0.0002E-06NADC,+84010.570747SECS,+55024RDNG#,00EXTCHAN
"
2.3646318912506104,0.00101974,"-0.0002E-06NADC,+84011.051283SECS,+55025RDNG#,00EXTCHAN
"
2.84411358833313,0.00101692,"-0.0004E-06NADC,+84011.530676SECS,+55026RDNG#,00EXTCHAN
"
3.325023889541626,0.00101744,"-0.0002E-06NADC,+84012.030568SECS,+55027RDNG#,00EXTCHAN
"
3.8240935802459717,0.00101465,"-0.0003E-06NADC,+84012.531334SECS,+55028RDNG#,00EXTCHAN
"
4.324902772903442,0.00099494,"-0.0003E-06NADC,+84013.010965SECS,+55029RDNG#,00EXTCHAN
"
4.801157236099243,0.00101698,"-0.0001E-06NADC,+84013.490702SECS,+55030RDNG#,00EXTCHAN
"
5.285128593444824,0.00101125,"-0.0001E-06NADC,+84013.967911SECS,+55031RDNG#,00EXTCHAN
"
5.764291286468506,0.00100866,"-0.0001E-06NADC,+84014.447751SECS,+55032RDNG#,00EXTCHAN
"
6.243865251541138,0.00100878,"-0.0001E-06NADC,+84014.947977SECS,+55033RDNG#,00EXTCHAN
"
6.741828203201294,0.00100843,"-0.0001E-06NADC,+84015.427671SECS,+55034RDNG#,00EXTCHAN
"
7.223593235015869,0.00101439,"-0.0002E-06NADC,+84015.907749SECS,+55035RDNG#,00EXTCHAN
"
7.704511642456055,0.00100901,"-0.0004E-06NADC,+84016.410491SECS,+55036RDNG#,00EXTCHAN
"
8.200703620910645,0.00101081,"-0.0002E-06NADC,+84016.887898SECS,+55037RDNG#,00EXTCHAN
"
8.680713891983032,0.0009932,"-0.0003E-06NADC,+84017.367265SECS,+55038RDNG#,00EXTCHAN
"
9.161827802658081,0.00100448,"-0.0001E-06NADC,+84017.847270SECS,+55039RDNG#,00EXTCHAN
"
9.641007423400879,0.0010048,"-0.0002E-06NADC,+84018.327432SECS,+55040RDNG#,00EXTCHAN
"
