time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0,1.37504,+0.0082E-06NADC,272.21,272.14
2.8461008071899414,1.375037,+0.0022E-06NADC,272.18,272.13
3.865402936935425,1.375043,+0.0002E-06NADC,272.15,272.11
4.8867669105529785,1.375046,-0.0004E-06NADC,272.12,272.09
5.9061267375946045,1.375046,+0.0004E-06NADC,272.1,272.08
6.926251411437988,1.375049,+0.0000E-06NADC,272.07,272.06
7.546866178512573,1.375043,-0.0092E-06NADC,272.05,272.05
8.167210340499878,1.375049,+0.0000E-06NADC,272.03,272.04
8.78680944442749,1.375055,-0.0000E-06NADC,272.02,272.03
9.40697956085205,1.375049,-0.0000E-06NADC,272.0,272.02
10.026965856552124,1.375052,+0.0002E-06NADC,271.99,272.01
10.645814895629883,1.375058,+0.0096E-06NADC,271.97,272.0
11.265709400177002,1.375058,+0.0000E-06NADC,271.96,271.99
11.886732578277588,1.375064,+0.0000E-06NADC,271.94,271.98
12.506294012069702,1.375058,+0.0001E-06NADC,271.93,271.97
13.125628471374512,1.375058,+0.0002E-06NADC,271.92,271.96
13.747722387313843,1.375064,-0.0092E-06NADC,271.9,271.95
14.365397453308105,1.375067,+0.0001E-06NADC,271.89,271.94
14.985442638397217,1.375061,+0.0001E-06NADC,271.88,271.93
15.604634284973145,1.375067,+0.0000E-06NADC,271.87,271.92
16.225815534591675,1.375067,+0.0000E-06NADC,271.85,271.91
16.846099853515625,1.375067,+0.0096E-06NADC,271.84,271.9
17.46414303779602,1.375069,+0.0002E-06NADC,271.83,271.89
18.083887100219727,1.375072,+0.0003E-06NADC,271.82,271.88
18.704201698303223,1.375072,+0.0004E-06NADC,271.81,271.87
19.32410478591919,1.375078,+0.0000E-06NADC,271.8,271.86
19.946072816848755,1.375075,-0.0094E-06NADC,271.79,271.85
20.563554286956787,1.375078,+0.0000E-06NADC,271.78,271.84
21.183400869369507,1.375084,+0.0005E-06NADC,271.77,271.83
21.802600622177124,1.375075,-0.0000E-06NADC,271.76,271.82
22.44460391998291,1.375078,+0.0097E-06NADC,271.75,271.81
23.06287431716919,1.37509,+0.0000E-06NADC,271.74,271.8
23.683518171310425,1.375081,+0.0001E-06NADC,271.74,271.79
24.301557779312134,1.375084,-0.0000E-06NADC,271.73,271.78
24.922773122787476,1.375084,+0.0001E-06NADC,271.72,271.76
25.54681921005249,1.37509,-0.0093E-06NADC,271.72,271.75
26.161287784576416,1.37509,+0.0000E-06NADC,271.71,271.74
26.78175687789917,1.37509,+0.0000E-06NADC,271.7,271.73
27.401237964630127,1.375093,+0.0000E-06NADC,271.7,271.72
28.02143120765686,1.375096,+0.0000E-06NADC,271.69,271.71
28.645743131637573,1.375093,+0.0096E-06NADC,271.68,271.7
29.2614324092865,1.375101,+0.0001E-06NADC,271.68,271.69
29.88049554824829,1.375096,-0.0000E-06NADC,271.67,271.68
30.500625371932983,1.375101,+0.0001E-06NADC,271.67,271.67
31.120617151260376,1.375104,+0.0000E-06NADC,271.66,271.66
31.750617265701294,1.375104,-0.0001E-06NADC,271.66,271.65
32.38034462928772,1.375107,-0.0000E-06NADC,271.65,271.64
33.036232471466064,1.375104,+0.0092E-06NADC,271.65,271.63
33.65952944755554,1.375113,+0.0005E-06NADC,271.64,271.62
34.27973675727844,1.37511,+0.0001E-06NADC,271.64,271.61
34.899078607559204,1.375113,+0.0002E-06NADC,271.63,271.6
35.5447793006897,1.37511,-0.0077E-06NADC,271.63,271.59
36.15990972518921,1.375113,-0.0025E-06NADC,271.63,271.58
36.77816128730774,1.375116,+0.0000E-06NADC,271.62,271.57
37.399044036865234,1.375119,-0.0000E-06NADC,271.62,271.56
38.033233404159546,1.375119,+0.0026E-06NADC,271.61,271.54
39.031787395477295,1.375128,+0.0000E-06NADC,271.61,271.53
39.6475396156311,1.375125,+0.0000E-06NADC,271.6,271.52
40.25892448425293,1.375128,+0.0096E-06NADC,271.6,271.51
40.87835478782654,1.375128,+0.0001E-06NADC,271.59,271.5
41.49842429161072,1.375125,+0.0001E-06NADC,271.59,271.49
42.11876344680786,1.375125,+0.0000E-06NADC,271.59,271.48
42.74691581726074,1.375128,+0.0000E-06NADC,271.58,271.47
43.35919260978699,1.375131,-0.0095E-06NADC,271.58,271.46
43.978614807128906,1.375133,-0.0001E-06NADC,271.57,271.45
44.59851408004761,1.375136,-0.0004E-06NADC,271.57,271.44
45.218082904815674,1.375139,+0.0001E-06NADC,271.56,271.43
45.84591817855835,1.375139,+0.0003E-06NADC,271.55,271.42
46.45953559875488,1.375142,+0.0093E-06NADC,271.55,271.41
47.078383684158325,1.375136,+0.0001E-06NADC,271.54,271.4
47.697904109954834,1.375145,+0.0000E-06NADC,271.54,271.39
48.31951546669006,1.375142,-0.0000E-06NADC,271.53,271.37
48.948442459106445,1.375145,+0.0001E-06NADC,271.52,271.36
49.558372020721436,1.375145,-0.0099E-06NADC,271.52,271.35
50.17918133735657,1.375145,+0.0000E-06NADC,271.51,271.34
50.80020499229431,1.375148,-0.0000E-06NADC,271.5,271.33
51.42038679122925,1.375151,+0.0000E-06NADC,271.5,271.32
52.04825472831726,1.375154,+0.0001E-06NADC,271.49,271.31
52.65960502624512,1.375154,+0.0096E-06NADC,271.48,271.3
53.28649425506592,1.375157,+0.0000E-06NADC,271.47,271.29
53.900007247924805,1.37516,-0.0000E-06NADC,271.47,271.28
54.520806074142456,1.375163,-0.0001E-06NADC,271.46,271.27
55.1497004032135,1.375157,-0.0095E-06NADC,271.45,271.26
55.779906034469604,1.37516,-0.0000E-06NADC,271.44,271.25
