time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,5.81e-06,+0.0000E-06NADC,294,294
0.46106815338134766,6.01e-06,-0.0000E-06NADC,294,294
0.9213933944702148,6.1e-06,+0.0000E-06NADC,294,294
1.4009294509887695,5.6e-06,-0.0002E-06NADC,294,294
1.8803861141204834,5.66e-06,-0.0001E-06NADC,294,294
2.3602075576782227,5.9e-06,-0.0001E-06NADC,294,294
2.839773416519165,6.24e-06,-0.0001E-06NADC,294,294
3.3197011947631836,6.36e-06,-0.0000E-06NADC,294,294
3.799964189529419,6.19e-06,-0.0001E-06NADC,294,294
4.279210567474365,5.87e-06,-0.0001E-06NADC,294,294
4.758918285369873,6.04e-06,-0.0000E-06NADC,294,294
5.240304946899414,6.19e-06,+0.0000E-06NADC,294,294
5.718865633010864,6.45e-06,-0.0000E-06NADC,294,294
6.199158668518066,6.19e-06,-0.0000E-06NADC,294,294
6.679119825363159,5.6e-06,-0.0001E-06NADC,294,294
7.157893419265747,5.34e-06,+0.0000E-06NADC,294,294
7.638229846954346,6.04e-06,-0.0001E-06NADC,294,294
8.118219375610352,6.33e-06,+0.0000E-06NADC,294,294
8.598350048065186,5.84e-06,-0.0001E-06NADC,294,294
9.076993703842163,5.63e-06,-0.0000E-06NADC,294,294
9.558040380477905,5.98e-06,-0.0000E-06NADC,294,294
