time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,4.152337,+0.410362E-03NADC,294,294
1.2017276287078857,4.152366,+0.410365E-03NADC,294,294
2.2217025756835938,4.152384,+0.410366E-03NADC,294,294
3.223384141921997,4.152413,+0.410367E-03NADC,294,294
4.243251085281372,4.152418,+0.410369E-03NADC,294,294
4.8829333782196045,4.152427,+0.410370E-03NADC,294,294
5.503291845321655,4.152436,+0.410371E-03NADC,294,294
6.1233744621276855,4.15245,+0.410373E-03NADC,294,294
6.744701862335205,4.152465,+0.410373E-03NADC,294,294
7.364449739456177,4.152471,+0.410375E-03NADC,294,294
7.965607404708862,4.152485,+0.410376E-03NADC,294,294
8.5850989818573,4.152497,+0.410377E-03NADC,294,294
9.208612203598022,4.1525,+0.410378E-03NADC,294,294
9.82889199256897,4.152511,+0.410379E-03NADC,294,294
