time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,4.152084,+0.0002E-06NADC,294,294
0.7568402290344238,4.152104,+0.0002E-06NADC,294,294
1.7779572010040283,4.152107,+0.0001E-06NADC,294,294
2.79870343208313,4.15211,+0.0001E-06NADC,294,294
3.419248580932617,4.152119,+0.0003E-06NADC,294,294
4.038689136505127,4.152128,+0.0002E-06NADC,294,294
4.658740043640137,4.152131,+0.0002E-06NADC,294,294
5.278814315795898,4.152142,-0.0000E-06NADC,294,294
5.899757623672485,4.152145,+0.0004E-06NADC,294,294
6.519364833831787,4.152151,-0.0001E-06NADC,294,294
7.139562606811523,4.152154,+0.0002E-06NADC,294,294
7.760032415390015,4.152157,-0.0000E-06NADC,294,294
8.381315469741821,4.15216,+0.0001E-06NADC,294,294
9.00017237663269,4.152162,+0.0001E-06NADC,294,294
9.62007999420166,4.152174,+0.0001E-06NADC,294,294
