time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,4.182429,+40.6171E-03NADC,294,294
0.6073954105377197,4.172434,+40.6157E-03NADC,294,294
1.6087150573730469,4.172292,+40.6143E-03NADC,294,294
2.6297225952148438,4.172137,+40.6113E-03NADC,294,294
3.250587224960327,4.171786,+40.6089E-03NADC,294,294
3.8703112602233887,4.171658,+40.6085E-03NADC,294,294
4.490561008453369,4.17185,+40.6102E-03NADC,294,294
5.111902236938477,4.171803,+40.6097E-03NADC,294,294
5.711548805236816,4.171745,+40.6091E-03NADC,294,294
6.312102794647217,4.171684,+40.6085E-03NADC,294,294
6.9120192527771,4.171623,+40.6077E-03NADC,294,294
7.532158613204956,4.171559,+40.6073E-03NADC,294,294
8.155876398086548,4.171498,+40.6066E-03NADC,294,294
8.795958995819092,4.171431,+40.6060E-03NADC,294,294
9.43595814704895,4.171364,+40.6053E-03NADC,294,294
