time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,4.193601,+0.0003E-06NADC,294,294
1.4505703449249268,4.193604,+0.0001E-06NADC,294,294
2.031956434249878,4.193607,+0.0005E-06NADC,294,294
3.4730124473571777,4.193607,+0.0000E-06NADC,294,294
4.054145097732544,4.193616,-0.0008E-06NADC,294,294
4.653914928436279,4.193616,+0.0006E-06NADC,294,294
5.27878999710083,4.193613,+0.0007E-06NADC,294,294
5.898813962936401,4.193619,+0.0000E-06NADC,294,294
6.517329216003418,4.193616,+0.0002E-06NADC,294,294
7.139110565185547,4.193619,-0.0001E-06NADC,294,294
7.759413242340088,4.193619,+0.0003E-06NADC,294,294
8.379780292510986,4.193627,+0.0002E-06NADC,294,294
8.999776124954224,4.19363,+0.0001E-06NADC,294,294
9.620298147201538,4.19363,+0.0002E-06NADC,294,294
