time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,3.530747,+0.0000E-06NADC,294,294
0.5966401100158691,3.53077,-0.0000E-06NADC,294,294
1.216454029083252,3.530787,-0.0000E-06NADC,294,294
1.8367505073547363,3.530805,+0.0000E-06NADC,294,294
2.455843925476074,3.530825,+0.0014E-06NADC,294,294
3.0741078853607178,3.530845,-0.0001E-06NADC,294,294
3.694767951965332,3.530866,+0.0000E-06NADC,294,294
4.314755439758301,3.530886,+0.0001E-06NADC,294,294
4.9351043701171875,3.530904,-0.0000E-06NADC,294,294
5.555067777633667,3.530921,+0.0000E-06NADC,294,294
6.174262523651123,3.530944,-0.0001E-06NADC,294,294
6.793790578842163,3.530971,-0.0000E-06NADC,294,294
8.054011583328247,3.531,+0.0000E-06NADC,294,294
8.673209190368652,3.531014,-0.0000E-06NADC,294,294
9.293335914611816,3.531032,-0.0005E-06NADC,294,294
9.912118911743164,3.531043,-0.0010E-06NADC,294,294
