time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,3.452231,+3.39444E-03NADC,294,294
1.3497378826141357,3.452298,+3.39451E-03NADC,294,294
2.368891477584839,3.452368,+3.39456E-03NADC,294,294
3.3882052898406982,3.452423,+3.39462E-03NADC,294,294
4.406163930892944,3.452461,+3.39465E-03NADC,294,294
5.02650260925293,3.45249,+3.39470E-03NADC,294,294
5.625752210617065,3.452522,+3.39471E-03NADC,294,294
6.224836111068726,3.452551,+3.39474E-03NADC,294,294
6.8245251178741455,3.45258,+3.39478E-03NADC,294,294
7.423922777175903,3.452609,+3.39480E-03NADC,294,294
8.023446321487427,3.452635,+3.39482E-03NADC,294,294
8.622087240219116,3.452667,+3.39485E-03NADC,294,294
9.221794843673706,3.45269,+3.39488E-03NADC,294,294
9.821634292602539,3.452714,+3.39491E-03NADC,294,294
