time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,3.463904,+0.0007E-06NADC,294,294
0.5974133014678955,3.46543,+0.0059E-06NADC,294,294
1.535844326019287,3.465442,+0.0004E-06NADC,294,294
2.155085802078247,3.465462,-0.0001E-06NADC,294,294
2.7745819091796875,3.46548,-0.0002E-06NADC,294,294
3.3934998512268066,3.465494,+0.0000E-06NADC,294,294
4.0143749713897705,3.465512,+0.0000E-06NADC,294,294
4.633514881134033,3.465535,+0.0001E-06NADC,294,294
5.2523932456970215,3.465541,+0.0000E-06NADC,294,294
5.872425079345703,3.465555,+0.0000E-06NADC,294,294
6.4914610385894775,3.465573,+0.0002E-06NADC,294,294
7.110727548599243,3.465587,-0.0000E-06NADC,294,294
7.730117559432983,3.465599,+0.0000E-06NADC,294,294
8.349578857421875,3.465619,-0.0000E-06NADC,294,294
8.969173669815063,3.465631,+0.0000E-06NADC,294,294
9.588927030563354,3.465646,-0.0002E-06NADC,294,294
