time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,4.389309,+42.6105E-03NADC,294,294
0.7669763565063477,4.396139,+42.6727E-03NADC,294,294
1.7873222827911377,4.395526,+42.6317E-03NADC,294,294
2.807915449142456,4.39848,+42.6982E-03NADC,294,294
3.4281814098358154,4.398803,+42.6981E-03NADC,294,294
4.04813289642334,4.398751,+42.6978E-03NADC,294,294
4.648580074310303,4.398658,+42.6964E-03NADC,294,294
5.2482099533081055,4.398527,+42.6952E-03NADC,294,294
5.889003276824951,4.398411,+42.6941E-03NADC,294,294
6.529034614562988,4.398291,+42.6930E-03NADC,294,294
7.169231653213501,4.398178,+42.6920E-03NADC,294,294
7.809964895248413,4.398062,+42.6907E-03NADC,294,294
8.450009822845459,4.397948,+42.6896E-03NADC,294,294
9.093069791793823,4.397835,+42.6885E-03NADC,294,294
9.713108539581299,4.397733,+42.6875E-03NADC,294,294
