time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,4.437293,-0.0013E-06NADC,294,294
0.6186754703521729,4.437305,-0.0011E-06NADC,294,294
2.0211992263793945,4.437308,-0.0003E-06NADC,294,294
3.059293746948242,4.437305,+0.0005E-06NADC,294,294
3.682384490966797,4.437305,-0.0020E-06NADC,294,294
4.302099943161011,4.437314,-0.0005E-06NADC,294,294
4.921869277954102,4.437311,-0.0003E-06NADC,294,294
5.542587041854858,4.437317,-0.0005E-06NADC,294,294
6.162671089172363,4.437319,+0.0005E-06NADC,294,294
6.781186819076538,4.437325,+0.0011E-06NADC,294,294
7.4015538692474365,4.437319,+0.0046E-06NADC,294,294
8.021587133407593,4.437322,-0.0008E-06NADC,294,294
8.643938302993774,4.437334,+0.0003E-06NADC,294,294
9.263606786727905,4.437334,+0.0007E-06NADC,294,294
9.882983684539795,4.437343,+0.0004E-06NADC,294,294
