time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,4.45261,+4.37897E-03NADC,294,294
1.1785871982574463,4.452682,+4.37906E-03NADC,294,294
2.198676824569702,4.452761,+4.37913E-03NADC,294,294
3.2189197540283203,4.452799,+4.37918E-03NADC,294,294
3.8395941257476807,4.452839,+4.37922E-03NADC,294,294
4.459385871887207,4.45288,+4.37926E-03NADC,294,294
5.079606533050537,4.452915,+4.37929E-03NADC,294,294
5.699988842010498,4.45295,+4.37930E-03NADC,294,294
6.320594549179077,4.452982,+4.37936E-03NADC,294,294
6.94110894203186,4.453014,+4.37938E-03NADC,294,294
7.560541868209839,4.45304,+4.37942E-03NADC,294,294
8.181133270263672,4.453075,+4.37944E-03NADC,294,294
8.800945281982422,4.453107,+4.37948E-03NADC,294,294
9.421790838241577,4.453133,+4.37949E-03NADC,294,294
