time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,4.458699,+0.0004E-06NADC,294,294
0.8447535037994385,4.458702,+0.0018E-06NADC,294,294
1.4448320865631104,4.458708,+0.0001E-06NADC,294,294
2.8861260414123535,4.458711,+0.0000E-06NADC,294,294
3.5065245628356934,4.458713,+0.0009E-06NADC,294,294
4.12625527381897,4.458716,+0.0000E-06NADC,294,294
4.747759103775024,4.458719,+0.0002E-06NADC,294,294
5.367835760116577,4.458725,+0.0003E-06NADC,294,294
5.987958908081055,4.458725,+0.0003E-06NADC,294,294
6.608314037322998,4.458731,+0.0003E-06NADC,294,294
7.228121757507324,4.458731,+0.0004E-06NADC,294,294
7.848740816116333,4.458734,-0.0000E-06NADC,294,294
8.449533224105835,4.45874,-0.0000E-06NADC,294,294
9.070286989212036,4.458737,+0.0006E-06NADC,294,294
9.668675899505615,4.45874,+0.0004E-06NADC,294,294
