time [s],voltage [V1,current [...],temperature_A [K],temperature_B [K],setpoint [K]
0.0,+2.36526400E-0,+78.3011E-06,214.98,224.09,215.0
0.5690324306488037,+2.36419600E-0,+78.2605E-06,214.98,224.09,215.0
1.1491508483886719,+2.36312600E-0,+78.2306E-06,214.98,224.09,215.0
1.739778995513916,+2.36206100E-0,+78.1951E-06,214.98,224.08,215.0
2.309091806411743,+2.36101700E-0,+78.1603E-06,214.98,224.08,215.0
2.8883891105651855,+2.35994300E-0,+78.1247E-06,214.98,224.08,214.99
3.4678385257720947,+2.35888100E-0,+78.0954E-06,214.98,224.08,214.99
4.0479607582092285,+2.35783400E-0,+78.0552E-06,214.98,224.08,214.99
4.63570237159729,+2.35676600E-0,+78.0204E-06,214.98,224.07,214.99
5.207568168640137,+2.35570400E-0,+77.9853E-06,214.98,224.07,214.99
5.787544250488281,+2.35465700E-0,+77.9507E-06,214.98,224.07,214.99
6.36675500869751,+2.35361600E-0,+77.9108E-06,214.98,224.07,214.99
6.947692394256592,+2.35256300E-0,+77.8809E-06,214.98,224.07,214.99
7.536080837249756,+2.35153900E-0,+77.8473E-06,214.98,224.07,214.99
8.1067636013031,+2.35048800E-0,+77.8123E-06,214.98,224.06,214.99
8.687501668930054,+2.34943800E-0,+77.7777E-06,214.98,224.06,214.98
9.267569303512573,+2.34840000E-0,+77.7487E-06,214.98,224.06,214.98
9.846624374389648,+2.34735500E-0,+77.7089E-06,214.98,224.06,214.98
10.435598373413086,+2.34630800E-0,+77.6748E-06,214.98,224.06,214.98
11.00791621208191,+2.34525500E-0,+77.6401E-06,214.98,224.06,214.98
11.586291551589966,+2.34427200E-0,+77.6021E-06,214.98,224.06,214.98
12.146134853363037,+2.34328500E-0,+77.5738E-06,214.98,224.06,214.98
12.706759214401245,+2.34224400E-0,+77.5397E-06,214.98,224.06,214.98
13.28675889968872,+2.34120800E-0,+77.5057E-06,214.98,224.06,214.98
13.865827322006226,+2.34017300E-0,+77.4763E-06,214.98,224.05,214.98
14.446415185928345,+2.33914300E-0,+77.4373E-06,214.98,224.05,214.97
15.034952640533447,+2.33810400E-0,+77.4033E-06,214.97,224.05,214.97
15.607223510742188,+2.33707700E-0,+77.3688E-06,214.97,224.05,214.97
16.186856269836426,+2.33605900E-0,+77.3350E-06,214.97,224.05,214.97
16.765504121780396,+2.33506400E-0,+77.3022E-06,214.97,224.05,214.97
