time [s],voltage [V],current [...],temperature_A [K],temperature_B [K],setpoint [K]
0.0,+4.35869900E-0,+14.4303E-06,210.0,217.15,210.0
0.48647332191467285,+4.35848100E-0,+14.4299E-06,210.0,217.15,210.0
0.9865751266479492,+4.35859700E-0,+14.4299E-06,210.0,217.15,210.0
1.486196756362915,+4.35837900E-0,+14.4298E-06,210.0,217.15,210.0
1.9853947162628174,+4.35851900E-0,+14.4343E-06,210.0,217.15,210.0
2.4648547172546387,+4.35844000E-0,+14.4296E-06,210.0,217.15,210.0
2.944305896759033,+4.35835300E-0,+14.4295E-06,210.0,217.15,210.0
3.4320473670959473,+4.35840300E-0,+14.4293E-06,210.0,217.15,210.0
3.9330294132232666,+4.35829500E-0,+14.4293E-06,210.0,217.15,210.0
4.4308881759643555,+4.35836800E-0,+14.4291E-06,210.0,217.15,210.0
4.932640314102173,+4.35825400E-0,+14.4289E-06,210.0,217.15,210.0
5.430281639099121,+4.35834200E-0,+14.4291E-06,210.0,217.15,210.0
5.90287446975708,+4.35811500E-0,+14.4288E-06,210.0,217.15,210.0
6.382398366928101,+4.35817600E-0,+14.4335E-06,210.0,217.15,210.0
6.8615264892578125,+4.35809700E-0,+14.4289E-06,210.0,217.15,210.0
7.341941595077515,+4.35800100E-0,+14.4285E-06,210.0,217.15,210.0
7.827868700027466,+4.35816100E-0,+14.4284E-06,210.0,217.15,210.0
8.328619480133057,+4.35794900E-0,+14.4282E-06,210.0,217.15,210.0
8.828492164611816,+4.35813800E-0,+14.4282E-06,210.0,217.15,210.0
9.328661918640137,+4.35787400E-0,+14.4281E-06,210.0,217.15,210.0
9.828526735305786,+4.35804200E-0,+14.4279E-06,210.0,217.15,210.0
10.327517747879028,+4.35780700E-0,+14.4279E-06,210.0,217.15,210.0
10.82691478729248,+4.35799600E-0,+14.4277E-06,210.0,217.15,210.0
11.328636407852173,+4.35776900E-0,+14.4276E-06,210.0,217.15,210.0
11.826756238937378,+4.35787900E-0,+14.4275E-06,210.0,217.15,210.0
12.327731847763062,+4.35769600E-0,+14.4273E-06,210.0,217.15,210.0
12.826540231704712,+4.35783900E-0,+14.4275E-06,210.0,217.15,210.0
13.324902534484863,+4.35765800E-0,+14.4273E-06,210.0,217.15,210.0
13.79751443862915,+4.35770200E-0,+14.4309E-06,210.0,217.15,210.0
14.276201725006104,+4.35766100E-0,+14.4271E-06,210.0,217.15,210.0
14.756714582443237,+4.35765800E-0,+14.4267E-06,210.0,217.16,210.0
15.256348609924316,+4.35760900E-0,+14.4269E-06,210.0,217.16,210.0
15.738667249679565,+4.35751900E-0,+14.4271E-06,210.0,217.16,210.0
16.22276282310486,+4.35774000E-0,+14.4270E-06,210.0,217.16,210.0
16.69565725326538,+4.35758300E-0,+14.4222E-06,210.0,217.16,210.0
17.175578832626343,+4.35755400E-0,+14.4267E-06,210.0,217.16,210.0
17.65475845336914,+4.35750100E-0,+14.4268E-06,210.0,217.16,210.0
18.135505199432373,+4.35738200E-0,+14.4266E-06,210.0,217.16,210.0
18.62356424331665,+4.35757400E-0,+14.4267E-06,210.0,217.15,210.0
19.094491243362427,+4.35748700E-0,+14.4220E-06,210.0,217.15,210.0
19.574811458587646,+4.35743500E-0,+14.4265E-06,210.0,217.15,210.0
20.054505825042725,+4.35741700E-0,+14.4265E-06,210.0,217.15,210.0
20.533430814743042,+4.35735900E-0,+14.4264E-06,210.0,217.16,210.0
21.012859582901,+4.35751300E-0,+14.4266E-06,210.0,217.16,210.0
21.493931770324707,+4.35737600E-0,+14.4218E-06,210.0,217.16,210.0
21.97369074821472,+4.35740300E-0,+14.4264E-06,210.0,217.16,210.0
22.453711986541748,+4.35742000E-0,+14.4264E-06,210.0,217.16,210.0
22.93356990814209,+4.35731300E-0,+14.4264E-06,210.0,217.16,210.0
23.41329836845398,+4.35753100E-0,+14.4265E-06,210.0,217.16,210.0
23.893181085586548,+4.35742300E-0,+14.4258E-06,210.0,217.16,210.0
24.39319372177124,+4.35743200E-0,+14.4311E-06,210.0,217.16,210.0
24.87308931350708,+4.35738200E-0,+14.4212E-06,210.0,217.16,210.0
25.373016119003296,+4.35742300E-0,+14.4263E-06,210.0,217.16,210.0
25.852701902389526,+4.35737900E-0,+14.4259E-06,210.0,217.16,210.0
26.351444721221924,+4.35739100E-0,+14.4259E-06,210.0,217.16,210.0
26.852630138397217,+4.35737100E-0,+14.4260E-06,210.0,217.16,210.0
27.352368354797363,+4.35735000E-0,+14.4259E-06,210.0,217.16,210.0
27.851524591445923,+4.35736200E-0,+14.4257E-06,210.0,217.16,210.0
28.35063934326172,+4.35733900E-0,+14.4258E-06,210.0,217.16,210.0
28.851545095443726,+4.35734400E-0,+14.4257E-06,210.0,217.16,210.0
29.351221084594727,+4.35732700E-0,+14.4256E-06,210.0,217.16,210.0
29.850483179092407,+4.35730700E-0,+14.4256E-06,210.0,217.16,210.0
30.350634336471558,+4.35732700E-0,+14.4256E-06,210.0,217.16,210.0
30.850159168243408,+4.35728600E-0,+14.4257E-06,210.0,217.16,210.0
31.350139617919922,+4.35726600E-0,+14.4256E-06,210.0,217.16,210.0
31.84982991218567,+4.35729800E-0,+14.4255E-06,210.0,217.16,210.0
32.34980225563049,+4.35728900E-0,+14.4253E-06,210.0,217.16,210.0
32.8329439163208,+4.35730400E-0,+14.4254E-06,210.0,217.16,210.0
33.33265542984009,+4.35714700E-0,+14.4252E-06,210.0,217.16,210.0
33.83333683013916,+4.35734200E-0,+14.4255E-06,210.0,217.16,210.0
