time [s],voltage [V],current [A],temperature_A [K],temperature_B [K],setpoint [K],heater [%]
0.0,+3.42097300E+00,+1.614036E-03,289.86,278.8,289.85,
0.6306445598602295,+3.42096700E+00,+1.614044E-03,289.86,278.8,289.85,
1.2504322528839111,+3.42096400E+00,+1.614042E-03,289.86,278.8,289.84,
1.8702435493469238,+3.42096700E+00,+1.614041E-03,289.86,278.79,289.84,
2.490910291671753,+3.42095900E+00,+1.614037E-03,289.86,278.79,289.84,
3.117306709289551,+3.42095300E+00,+1.614036E-03,289.86,278.79,289.84,
3.7506394386291504,+3.42095000E+00,+1.614033E-03,289.86,278.79,289.84,
4.3709588050842285,+3.42095000E+00,+1.614033E-03,289.86,278.79,289.84,
4.990429401397705,+3.42094400E+00,+1.614031E-03,289.86,278.79,289.84,
5.619654417037964,+3.42093200E+00,+1.614029E-03,289.86,278.79,289.84,
6.251074552536011,+3.42093200E+00,+1.614027E-03,289.85,278.79,289.84,
6.8697850704193115,+3.42093500E+00,+1.614024E-03,289.85,278.79,289.84,
7.491991281509399,+3.42092400E+00,+1.614022E-03,289.85,278.79,289.83,
8.120218515396118,+3.42092700E+00,+1.614021E-03,289.85,278.79,289.83,
8.751647233963013,+3.42091200E+00,+1.614020E-03,289.85,278.79,289.83,
9.371755599975586,+3.42090900E+00,+1.614018E-03,289.85,278.79,289.83,
9.992133140563965,+3.42090900E+00,+1.614016E-03,289.85,278.79,289.83,
10.620179176330566,+3.42090000E+00,+1.614014E-03,289.85,278.79,289.83,
11.252738237380981,+3.42090000E+00,+1.614012E-03,289.85,278.79,289.83,
11.872103452682495,+3.42089500E+00,+1.614010E-03,289.85,278.79,289.83,
12.493112325668335,+3.42089200E+00,+1.614007E-03,289.84,278.79,289.83,
13.121985673904419,+3.42088900E+00,+1.614005E-03,289.84,278.79,289.82,
13.75375747680664,+3.42088600E+00,+1.614002E-03,289.84,278.79,289.82,
14.374674797058105,+3.42087700E+00,+1.614001E-03,289.84,278.79,289.82,
14.994284391403198,+3.42087400E+00,+1.613997E-03,289.84,278.79,289.82,
15.623066663742065,+3.42087100E+00,+1.613997E-03,289.84,278.79,289.82,
16.252766609191895,+3.42086600E+00,+1.613994E-03,289.84,278.79,289.82,
16.87472653388977,+3.42086300E+00,+1.613993E-03,289.84,278.79,289.82,
17.495524168014526,+3.42086000E+00,+1.613991E-03,289.84,278.79,289.82,
18.122461557388306,+3.42085700E+00,+1.613989E-03,289.84,278.79,289.82,
18.75535750389099,+3.42085100E+00,+1.613987E-03,289.84,278.79,289.82,
19.373883962631226,+3.42084800E+00,+1.613986E-03,289.83,278.79,289.81,
19.997759342193604,+3.42083900E+00,+1.613984E-03,289.83,278.79,289.81,
20.62966823577881,+3.42084200E+00,+1.613983E-03,289.83,278.79,289.81,
21.256286144256592,+3.42083900E+00,+1.613979E-03,289.83,278.79,289.81,
21.87715244293213,+3.42083100E+00,+1.613978E-03,289.83,278.79,289.81,
22.496988773345947,+3.42082200E+00,+1.613985E-03,289.83,278.79,289.81,
23.13683247566223,+3.42082500E+00,+1.613975E-03,289.83,278.79,289.81,
23.76219654083252,+3.42081600E+00,+1.613973E-03,289.83,278.79,289.81,
24.396363973617554,+3.42081900E+00,+1.613969E-03,289.83,278.79,289.81,
25.027198553085327,+3.42081000E+00,+1.613968E-03,289.82,278.79,289.8,
25.658236742019653,+3.42080400E+00,+1.613966E-03,289.82,278.79,289.8,
26.296870231628418,+3.42080200E+00,+1.613964E-03,289.82,278.79,289.8,
26.92577815055847,+3.42079600E+00,+1.613962E-03,289.82,278.79,289.8,
27.557862758636475,+3.42079300E+00,+1.613960E-03,289.82,278.79,289.8,
28.18148922920227,+3.42079000E+00,+1.613957E-03,289.82,278.78,289.8,
28.82790994644165,+3.42079000E+00,+1.613956E-03,289.82,278.78,289.8,
29.456770181655884,+3.42078400E+00,+1.613953E-03,289.82,278.78,289.8,
30.079566717147827,+3.42078100E+00,+1.613952E-03,289.82,278.78,289.8,
30.725359201431274,+3.42077000E+00,+1.613951E-03,289.81,278.78,289.8,
31.358176708221436,+3.42076700E+00,+1.613949E-03,289.81,278.78,289.79,
31.977724313735962,+3.42076400E+00,+1.613947E-03,289.81,278.78,289.79,
32.597537994384766,+3.42076100E+00,+1.613944E-03,289.81,278.78,289.79,
33.229780435562134,+3.42074900E+00,+1.613943E-03,289.81,278.78,289.79,
33.85871982574463,+3.42075200E+00,+1.613940E-03,289.81,278.78,289.79,
34.481693983078,+3.42074600E+00,+1.613939E-03,289.81,278.78,289.79,
35.126126527786255,+3.42074900E+00,+1.613936E-03,289.81,278.78,289.79,
35.75876331329346,+3.42074600E+00,+1.613934E-03,289.81,278.78,289.79,
36.39844608306885,+3.42073200E+00,+1.613932E-03,289.8,278.78,289.79,
37.02728247642517,+3.42072900E+00,+1.613931E-03,289.8,278.78,289.78,
37.658517837524414,+3.42072600E+00,+1.613929E-03,289.8,278.78,289.78,
38.279072999954224,+3.42072000E+00,+1.613926E-03,289.8,278.78,289.78,
38.89847230911255,+3.42072000E+00,+1.613924E-03,289.8,278.78,289.78,
