time [s],voltage [V],current [A],temperature_A [K],temperature_B [K],setpoint [K]
0.0,+3.38710400E+00,+1.598041E-03,279.78,270.38,279.77,
0.6583986282348633,+3.38710100E+00,+1.598049E-03,279.78,270.38,279.77,
1.2916667461395264,+3.38709800E+00,+1.598037E-03,279.77,270.38,279.77,
1.931682825088501,+3.38708300E+00,+1.598035E-03,279.77,270.38,279.77,
2.5716607570648193,+3.38708900E+00,+1.598034E-03,279.77,270.38,279.77,
3.2134251594543457,+3.38708600E+00,+1.598033E-03,279.77,270.37,279.77,
3.8356730937957764,+3.38707800E+00,+1.598033E-03,279.77,270.37,279.76,
4.4597437381744385,+3.38707200E+00,+1.598033E-03,279.77,270.37,279.76,
5.0797553062438965,+3.38707200E+00,+1.598040E-03,279.77,270.37,279.76,
5.696550607681274,+3.38707200E+00,+1.598030E-03,279.77,270.37,279.76,
6.34483003616333,+3.38706300E+00,+1.598029E-03,279.77,270.37,279.76,
6.974205493927002,+3.38706600E+00,+1.598017E-03,279.77,270.37,279.76,
7.598580598831177,+3.38706300E+00,+1.598025E-03,279.77,270.37,279.76,
8.21545147895813,+3.38705700E+00,+1.598024E-03,279.76,270.37,279.76,
8.835728168487549,+3.38705400E+00,+1.598023E-03,279.76,270.37,279.76,
9.47690224647522,+3.38705700E+00,+1.598032E-03,279.76,270.36,279.75,
10.097342014312744,+3.38705700E+00,+1.598020E-03,279.76,270.36,279.75,
10.720674753189087,+3.38704600E+00,+1.598018E-03,279.76,270.36,279.75,
