time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0,1.361867,-0.0001E-06NADC,263.85,260
0.6210792064666748,1.36189,-0.0002E-06NADC,263.84,255
1.2415831089019775,1.361917,-0.0002E-06NADC,263.83,255
1.843040943145752,1.361952,-0.0093E-06NADC,263.81,255
2.462339162826538,1.361975,-0.0003E-06NADC,263.8,255
3.0837109088897705,1.36201,-0.0003E-06NADC,263.78,255
3.704561948776245,1.362039,-0.0003E-06NADC,263.77,255
4.324561834335327,1.362062,-0.0002E-06NADC,263.76,255
4.945712327957153,1.362091,+0.0091E-06NADC,263.74,255
5.566805839538574,1.36212,-0.0000E-06NADC,263.73,255
6.187520742416382,1.362146,-0.0000E-06NADC,263.72,255
6.828088760375977,1.36217,+0.0000E-06NADC,263.71,255
7.448497295379639,1.362205,-0.0095E-06NADC,263.7,255
8.06850814819336,1.362228,-0.0001E-06NADC,263.68,255
