time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0048143863677978516,1.370873,+1.223534E-03NADC,298.25,273.0
0.6241433620452881,1.370873,+1.223531E-03NADC,298.25,273.0
1.2508394718170166,1.370876,+1.223529E-03NADC,298.25,273.0
1.8624458312988281,1.370876,+1.223527E-03NADC,298.25,273.0
2.484238862991333,1.370867,+1.223532E-03NADC,298.24,273.0
3.1051185131073,1.370867,+1.223522E-03NADC,298.24,273.0
3.7236084938049316,1.370865,+1.223519E-03NADC,298.24,273.0
4.349830389022827,1.370862,+1.223516E-03NADC,298.24,273.0
4.964526176452637,1.370859,+1.223515E-03NADC,298.23,273.0
5.58388090133667,1.37085,+1.223504E-03NADC,298.23,273.0
6.204060077667236,1.370853,+1.223510E-03NADC,298.23,273.0
6.824520826339722,1.37085,+1.223508E-03NADC,298.23,273.0
7.450024843215942,1.370847,+1.223506E-03NADC,298.22,273.0
