time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.0,0.01847583,+6.1182E-06NADC,199.46,212.84,200.0
0.4884145259857178,0.01846008,+6.1081E-06NADC,199.46,212.84,200.0
0.9675326347351074,0.01844444,+6.1030E-06NADC,199.46,212.84,200.0
1.455275058746338,0.01842813,+6.0976E-06NADC,199.47,212.83,200.0
1.956254243850708,0.0184113,+6.0921E-06NADC,199.47,212.83,200.0
2.4557034969329834,0.01839548,+6.0867E-06NADC,199.47,212.83,200.0
2.956709623336792,0.01837894,+6.0813E-06NADC,199.47,212.82,200.01
3.456392288208008,0.01836298,+6.0760E-06NADC,199.47,212.82,200.01
3.9560608863830566,0.01834641,+6.0708E-06NADC,199.47,212.82,200.01
4.425260066986084,0.01833287,+6.0707E-06NADC,199.47,212.81,200.01
4.886160850524902,0.01831717,+6.0608E-06NADC,199.47,212.81,200.01
5.365965127944946,0.01830159,+6.0558E-06NADC,199.47,212.81,200.01
5.855331182479858,0.01828766,+6.0508E-06NADC,199.48,212.81,200.01
6.325339078903198,0.0182701,+6.0456E-06NADC,199.48,212.8,200.01
6.805315256118774,0.01825606,+6.0453E-06NADC,199.48,212.8,200.01
7.284984588623047,0.01824048,+6.0355E-06NADC,199.48,212.8,200.01
7.764278173446655,0.0182249,+6.0305E-06NADC,199.48,212.79,200.01
8.253984212875366,0.01821089,+6.0254E-06NADC,199.48,212.79,200.01
8.724255323410034,0.01819397,+6.0203E-06NADC,199.48,212.79,200.02
9.204250574111938,0.01817973,+6.0201E-06NADC,199.48,212.78,200.02
9.683619260787964,0.01816476,+6.0104E-06NADC,199.48,212.78,200.02
10.164253234863281,0.01814903,+6.0053E-06NADC,199.48,212.78,200.02
10.651269674301147,0.01813499,+6.0004E-06NADC,199.48,212.77,200.02
11.1219162940979,0.01811807,+5.9953E-06NADC,199.48,212.77,200.02
11.60380744934082,0.018104,+5.9951E-06NADC,199.49,212.77,200.02
12.082865476608276,0.01808932,+5.9856E-06NADC,199.49,212.76,200.02
12.562254428863525,0.01807377,+5.9806E-06NADC,199.49,212.76,200.02
13.051491022109985,0.01806022,+5.9757E-06NADC,199.49,212.76,200.02
13.521800756454468,0.0180433,+5.9706E-06NADC,199.49,212.75,200.02
14.00149416923523,0.01802941,+5.9704E-06NADC,199.49,212.75,200.02
14.482903242111206,0.01801441,+5.9608E-06NADC,199.49,212.75,200.03
14.962219476699829,0.01799909,+5.9558E-06NADC,199.49,212.74,200.03
15.450281620025635,0.01798603,+5.9509E-06NADC,199.49,212.74,200.03
15.921625137329102,0.01796891,+5.9459E-06NADC,199.49,212.74,200.03
16.401405334472656,0.01795475,+5.9411E-06NADC,199.49,212.73,200.03
16.901280879974365,0.01793993,+5.9319E-06NADC,199.5,212.73,200.03
17.380332231521606,0.01792487,+5.9349E-06NADC,199.5,212.72,200.03
17.880926847457886,0.01791013,+5.9259E-06NADC,199.5,212.72,200.03
18.360639333724976,0.01789484,+5.9212E-06NADC,199.5,212.72,200.03
18.839632034301758,0.01788156,+5.9162E-06NADC,199.5,212.71,200.03
19.339979887008667,0.01786382,+5.9110E-06NADC,199.5,212.71,200.03
19.839916229248047,0.01785121,+5.9061E-06NADC,199.5,212.71,200.03
20.339174032211304,0.01783385,+5.9009E-06NADC,199.5,212.7,200.03
20.838775396347046,0.01782095,+5.8962E-06NADC,199.5,212.7,200.04
21.33907175064087,0.017804,+5.8911E-06NADC,199.51,212.7,200.04
21.83899426460266,0.01779141,+5.8861E-06NADC,199.51,212.69,200.04
22.338549852371216,0.01777347,+5.8813E-06NADC,199.51,212.69,200.04
22.838794708251953,0.01776161,+5.8763E-06NADC,199.51,212.69,200.04
23.337936401367188,0.01774327,+5.8713E-06NADC,199.51,212.69,200.04
23.837838888168335,0.01773196,+5.8665E-06NADC,199.51,212.68,200.04
24.33722734451294,0.01771371,+5.8620E-06NADC,199.51,212.68,200.04
24.81790518760681,0.01770234,+5.8569E-06NADC,199.51,212.68,200.04
25.317978143692017,0.01768606,+5.8520E-06NADC,199.52,212.67,200.04
25.817933320999146,0.0176724,+5.8472E-06NADC,199.52,212.67,200.04
26.317041873931885,0.01765615,+5.8423E-06NADC,199.52,212.67,200.04
26.816810846328735,0.01764339,+5.8373E-06NADC,199.52,212.66,200.05
27.317970752716064,0.01762772,+5.8325E-06NADC,199.52,212.66,200.05
27.81695032119751,0.01761362,+5.8277E-06NADC,199.52,212.66,200.05
28.31666588783264,0.01759853,+5.8228E-06NADC,199.53,212.65,200.05
28.81696081161499,0.01758452,+5.8182E-06NADC,199.53,212.65,200.05
29.317566394805908,0.01756949,+5.8134E-06NADC,199.53,212.65,200.05
29.816669940948486,0.01755542,+5.8085E-06NADC,199.53,212.64,200.05
30.3171865940094,0.01754083,+5.8038E-06NADC,199.53,212.64,200.05
30.81695556640625,0.01752658,+5.7991E-06NADC,199.53,212.64,200.05
31.316718101501465,0.01751185,+5.7943E-06NADC,199.54,212.63,200.05
31.81689715385437,0.01749734,+5.7897E-06NADC,199.54,212.63,200.05
32.316704750061035,0.01748312,+5.7848E-06NADC,199.54,212.63,200.05
32.81605672836304,0.01746847,+5.7801E-06NADC,199.54,212.62,200.06
33.31611657142639,0.01745455,+5.7752E-06NADC,199.54,212.62,200.06
33.8156623840332,0.01744068,+5.7756E-06NADC,199.55,212.62,200.06
34.29589319229126,0.01742679,+5.7613E-06NADC,199.55,212.61,200.06
34.796194076538086,0.01741237,+5.7659E-06NADC,199.55,212.61,200.06
35.29604935646057,0.01739818,+5.7519E-06NADC,199.55,212.61,200.06
35.795480251312256,0.01738397,+5.7521E-06NADC,199.55,212.6,200.06
36.27599048614502,0.01737039,+5.7475E-06NADC,199.56,212.6,200.06
36.77581071853638,0.01735568,+5.7429E-06NADC,199.56,212.6,200.06
37.26047468185425,0.01734385,+5.7385E-06NADC,199.56,212.59,200.06
37.760666608810425,0.01732792,+5.7337E-06NADC,199.56,212.59,200.06
38.26058053970337,0.0173165,+5.7292E-06NADC,199.57,212.59,200.06
38.761308670043945,0.01729993,+5.7247E-06NADC,199.57,212.58,200.07
39.26064085960388,0.01728833,+5.7200E-06NADC,199.57,212.58,200.07
39.761903047561646,0.01727234,+5.7154E-06NADC,199.57,212.58,200.07
40.26049542427063,0.01726121,+5.7108E-06NADC,199.58,212.57,200.07
40.761301040649414,0.01724469,+5.7062E-06NADC,199.58,212.57,200.07
41.2603018283844,0.01723292,+5.7017E-06NADC,199.58,212.57,200.07
41.76121807098389,0.01721748,+5.6971E-06NADC,199.58,212.56,200.07
42.26069736480713,0.01720568,+5.6927E-06NADC,199.59,212.56,200.07
42.73598504066467,0.0171908,+5.6881E-06NADC,199.59,212.56,200.07
43.234721660614014,0.01717809,+5.6838E-06NADC,199.59,212.56,200.07
43.71499752998352,0.01716548,+5.6749E-06NADC,199.59,212.55,200.07
44.19458484649658,0.0171519,+5.6752E-06NADC,199.6,212.55,200.07
