time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,1.383043,+1.232862E-03NADC,294,294
0.5772016048431396,1.383148,+1.232959E-03NADC,294,294
1.8172509670257568,1.3832,+1.233000E-03NADC,294,294
2.3970589637756348,1.383314,+1.233098E-03NADC,294,294
3.8586690425872803,1.38338,+1.233157E-03NADC,294,294
4.878638505935669,1.383415,+1.233193E-03NADC,294,294
5.4781458377838135,1.38345,+1.233224E-03NADC,294,294
6.0793375968933105,1.383488,+1.233256E-03NADC,294,294
6.679752349853516,1.383523,+1.233285E-03NADC,294,294
7.280878067016602,1.383552,+1.233313E-03NADC,294,294
7.880352973937988,1.383578,+1.233341E-03NADC,294,294
8.480962753295898,1.383616,+1.233366E-03NADC,294,294
9.08143663406372,1.383642,+1.233390E-03NADC,294,294
9.681601524353027,1.383671,+1.233415E-03NADC,294,294
