time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,1.3866,-0.0018E-06NADC,294,294
0.7791712284088135,1.386594,-0.0047E-06NADC,294,294
1.7987420558929443,1.386597,+0.0004E-06NADC,294,294
2.819936513900757,1.386591,-0.0002E-06NADC,294,294
3.441023588180542,1.386588,-0.0008E-06NADC,294,294
4.0614707469940186,1.386597,+0.0006E-06NADC,294,294
4.6815125942230225,1.386588,-0.0008E-06NADC,294,294
5.301980972290039,1.386585,+0.0003E-06NADC,294,294
5.901904106140137,1.386591,+0.0003E-06NADC,294,294
6.502546072006226,1.386588,-0.0004E-06NADC,294,294
7.103002548217773,1.386588,+0.0004E-06NADC,294,294
7.722208738327026,1.386591,-0.0008E-06NADC,294,294
8.324213027954102,1.386594,+0.0000E-06NADC,294,294
8.924118518829346,1.386588,-0.0002E-06NADC,294,294
9.524724960327148,1.386588,+0.0006E-06NADC,294,294
