time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,1.377879,+125.0384E-06NADC,294,294
0.631772518157959,1.377977,+125.0487E-06NADC,294,294
1.2117919921875,1.378254,+125.1114E-06NADC,294,294
1.8129403591156006,1.378405,+125.1053E-06NADC,294,294
2.413930654525757,1.378437,+125.0825E-06NADC,294,294
3.0144166946411133,1.37846,+125.0915E-06NADC,294,294
3.614738941192627,1.378486,+125.1003E-06NADC,294,294
4.216062784194946,1.378498,+125.1022E-06NADC,294,294
4.8162970542907715,1.378513,+125.0945E-06NADC,294,294
5.416165351867676,1.378515,+125.1006E-06NADC,294,294
6.0177459716796875,1.378536,+125.1048E-06NADC,294,294
6.6180198192596436,1.378547,+125.1014E-06NADC,294,294
7.218708038330078,1.378571,+125.1011E-06NADC,294,294
7.819746494293213,1.378582,+125.1090E-06NADC,294,294
8.43914532661438,1.378591,+125.1084E-06NADC,294,294
9.060393333435059,1.378611,+125.1020E-06NADC,294,294
9.680480718612671,1.378617,+125.1145E-06NADC,294,294
