time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,1.380504,-0.0006E-06NADC,294,294
0.9212048053741455,1.380499,+0.0013E-06NADC,294,294
1.9404592514038086,1.38051,-0.0043E-06NADC,294,294
2.961369276046753,1.380502,+0.0307E-06NADC,294,294
3.9823012351989746,1.380502,+0.0007E-06NADC,294,294
5.0037682056427,1.380504,+0.0005E-06NADC,294,294
6.024015426635742,1.380504,-0.0000E-06NADC,294,294
6.6456756591796875,1.380502,-0.0005E-06NADC,294,294
7.26462984085083,1.380499,+0.0002E-06NADC,294,294
7.88489842414856,1.380504,+0.0002E-06NADC,294,294
8.5084228515625,1.380499,+0.0009E-06NADC,294,294
9.12544560432434,1.380496,+0.0005E-06NADC,294,294
9.745923519134521,1.380499,-0.0047E-06NADC,294,294
