time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.003990650177001953,1.081e-05,-0.0005E-06NADC,75.955,294
0.46158719062805176,1.049e-05,+0.0000E-06NADC,75.948,294
0.9213180541992188,1.02e-05,+0.0001E-06NADC,75.935,294
1.4002118110656738,1.008e-05,+0.0001E-06NADC,75.925,294
1.86061429977417,9.7e-06,-0.0000E-06NADC,75.917,294
2.3208022117614746,9.73e-06,+0.0001E-06NADC,75.905,294
2.780486822128296,9.65e-06,-0.0000E-06NADC,75.885,294
3.2434420585632324,9.82e-06,+0.0000E-06NADC,75.879,294
3.7212095260620117,1.063e-05,-0.0001E-06NADC,75.882,294
4.200125217437744,9.67e-06,-0.0004E-06NADC,75.898,294
4.660243511199951,9.7e-06,-0.0000E-06NADC,75.923,294
5.120781183242798,9.38e-06,-0.0001E-06NADC,75.953,294
5.579518556594849,9.38e-06,-0.0000E-06NADC,76.006,294
6.0438151359558105,8.8e-06,-0.0000E-06NADC,76.031,294
6.520458698272705,9.24e-06,+0.0003E-06NADC,76.077,294
6.979793548583984,9.76e-06,+0.0000E-06NADC,76.366,294
7.443413257598877,9.56e-06,+0.0003E-06NADC,77.302,294
7.920117616653442,9.62e-06,-0.0003E-06NADC,86.959,294
8.399587631225586,9.35e-06,-0.0000E-06NADC,89.524,294
8.860482692718506,9.85e-06,-0.0000E-06NADC,98.683,294
9.319771766662598,9.27e-06,-0.0002E-06NADC,103.41,294
9.778857469558716,9.65e-06,-0.0001E-06NADC,105.85,294
