time [s],voltage [V],current [...],temperature_A [K],setpoint [K]
0.004031658172607422,6.65e-06,-0.0000E-06NADC,295.28,276.26
0.46308183670043945,5.87e-06,-0.0000E-06NADC,295.46,276.24
0.9428513050079346,6.36e-06,-0.0001E-06NADC,295.68,276.22
1.4226326942443848,6.39e-06,+0.0000E-06NADC,295.88,276.21
1.9038619995117188,6.88e-06,-0.0000E-06NADC,296.09,276.19
2.3831770420074463,5.98e-06,+0.0000E-06NADC,296.25,276.18
2.8430752754211426,5.81e-06,+0.0000E-06NADC,296.45,276.16
3.3230621814727783,6.33e-06,-0.0001E-06NADC,296.64,276.14
3.8826539516448975,6.74e-06,+0.0002E-06NADC,296.82,276.13
4.362462997436523,5.75e-06,-0.0003E-06NADC,296.99,276.11
4.842769145965576,6.45e-06,-0.0004E-06NADC,297.17,276.09
5.322415828704834,6.94e-06,+0.0001E-06NADC,297.33,276.08
5.801921367645264,6.53e-06,+0.0002E-06NADC,297.49,276.06
6.281441926956177,6.74e-06,+0.0000E-06NADC,297.62,276.05
6.762954950332642,6.62e-06,-0.0000E-06NADC,297.77,276.03
7.243027210235596,5.95e-06,-0.0006E-06NADC,297.9,276.01
7.722723722457886,6.3e-06,-0.0004E-06NADC,298.0,276.0
8.201924562454224,5.95e-06,+0.0005E-06NADC,298.09,275.98
8.68130350112915,6.77e-06,-0.0000E-06NADC,298.15,275.97
9.162837743759155,6.36e-06,+0.0000E-06NADC,298.22,275.95
9.621642589569092,6.39e-06,-0.0000E-06NADC,298.27,275.93
